SeriesTicker,SeriesName,EventTicker,MarketTicker,Time,EventEndTime,VolumeInDollar,YesProb,NoProb,EventResult,RulesPrimary,KalshiURL,Tags
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06FCBBVG,KXEUROLEAGUEGAME-26FEB06FCBBVG-FCB,2026-02-05T22:00:00+00:00,2026-02-06T21:44:57Z,229899.00,0.58,0.42,yes,"If FC Barcelona wins the FC Barcelona at Baskonia Vitoria-Gasteiz professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06fcbbvg,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06VIBOPI,KXEUROLEAGUEGAME-26FEB06VIBOPI-VIB,2026-02-05T21:00:00+00:00,2026-02-06T21:10:05Z,138556.00,0.15,0.85,no,"If Virtus Bologna wins the Virtus Bologna at BC Olympiakos Piraeus professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06vibopi,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06VIBOPI,KXEUROLEAGUEGAME-26FEB06VIBOPI-OPI,2026-02-05T21:00:00+00:00,2026-02-06T21:10:05Z,35463.00,0.87,0.13,yes,"If BC Olympiakos Piraeus wins the Virtus Bologna at BC Olympiakos Piraeus professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06vibopi,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06OLMASV,KXEUROLEAGUEGAME-26FEB06OLMASV-OLM,2026-02-05T21:00:00+00:00,2026-02-06T21:04:54Z,263711.00,0.59,0.41,yes,"If Olimpia Milano wins the Olimpia Milano at ASVEL Lyon-Villeurbanne professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06olmasv,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06OLMASV,KXEUROLEAGUEGAME-26FEB06OLMASV-ASV,2026-02-05T22:00:00+00:00,2026-02-06T21:04:54Z,118432.00,0.41,0.59,no,"If ASVEL Lyon-Villeurbanne wins the Olimpia Milano at ASVEL Lyon-Villeurbanne professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06olmasv,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06MTACZV,KXEUROLEAGUEGAME-26FEB06MTACZV-MTA,2026-02-05T21:00:00+00:00,2026-02-06T21:20:28Z,368146.00,0.28,0.72,yes,"If Maccabi Tel-Aviv wins the Maccabi Tel-Aviv at KK Crvena zvezda Belgrade professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06mtaczv,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06MTACZV,KXEUROLEAGUEGAME-26FEB06MTACZV-CZV,2026-02-05T21:00:00+00:00,2026-02-06T21:20:28Z,220696.00,0.72,0.28,no,"If KK Crvena zvezda Belgrade wins the Maccabi Tel-Aviv at KK Crvena zvezda Belgrade professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06mtaczv,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB06ZALEFS,KXEUROLEAGUEGAME-26FEB06ZALEFS-ZAL,2026-02-05T19:00:00+00:00,2026-02-06T19:25:01Z,272704.00,0.55,0.45,no,"If BC Zalgiris Kaunas wins the BC Zalgiris Kaunas at Anadolu Efes SK professional Euroleague basketball game originally scheduled for Feb 6, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb06zalefs,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB05MONBAY,KXEUROLEAGUEGAME-26FEB05MONBAY-MON,2026-02-04T22:00:00+00:00,2026-02-05T21:31:10Z,220187.00,0.61,0.39,no,"If AS Monaco wins the AS Monaco at Bayern Munich professional Euroleague basketball game originally scheduled for Feb 5, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb05monbay,Basketball
KXEUROLEAGUEGAME,Euroleague Game,KXEUROLEAGUEGAME-26FEB05MONBAY,KXEUROLEAGUEGAME-26FEB05MONBAY-BAY,2026-02-04T22:00:00+00:00,2026-02-05T21:31:10Z,254626.00,0.42,0.58,yes,"If Bayern Munich wins the AS Monaco at Bayern Munich professional Euroleague basketball game originally scheduled for Feb 5, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxeuroleaguegame/euroleague-game/kxeuroleaguegame-26feb05monbay,Basketball
